Model,MAE,MSE,R2
Linear Regression,0.5562433729831054,0.6067311880316114,0.3107377956039471
Ridge Regression,0.5555110093791882,0.6063630811336,0.3111559744893936
Lasso Regression,0.5414588939390385,0.600055035121038,0.3183220766872318
Random Forest Regressor,0.4039256276878565,0.40203052902624065,0.5432829989008238
Gradient Boosting Regressor,0.4530971179044342,0.48896252016874214,0.4445260254183647
XGBoost Regressor,0.41791632630633374,0.498446633028606,0.4337518297523425
Support Vector Regressor,0.4801677203740541,0.5354724634246668,0.39168953596919576
